population.ID,taxon,species,sex.determination,sex.det.source,birth.sex.ratio,juvenile.sex.ratio,adult.sex.ratio,matur.male,matur.female,mortality.male,mortality.female,N.babies,N.juveniles,N.adults,reference.ID
350,turtles,Mauremys_japonica,TSD,species.in.TreeOfSex,,,0.474,,,,,,,350,366
352,turtles,Mauremys_reevesii,TSD,species.in.TreeOfSex,,0.320,0.588,7.0,9.0,,,,96,56,"373, m53"
353,lizards,Meroles_anchietae,GSD,genus.or.family.in.TreeOfSex,,,0.553,0.5,0.4,,,,,559,183184
354,lizards,Meroles_cuneirostris,GSD,species.in.TreeOfSex,,,0.554,,,,,,,204,183184
355,snakes,Morelia_viridis,GSD,genus.or.family.in.TreeOfSex,,,0.577,2.4,3.6,,,,,97,g32
356,snakes,Natrix_natrix,GSD,species.in.TreeOfSex,0.503,,,,,,,124,,,g35
357,snakes,Natrix_natrix,GSD,species.in.TreeOfSex,,,0.676,,,,,,,58,v25
358,snakes,Natrix_natrix,GSD,species.in.TreeOfSex,0.480,0.316,0.539,3.0,4.5,0.480,0.480,294,76,334,v26
359,snakes,Nerodia_rhombifer,GSD,genus.or.family.in.TreeOfSex,0.530,,,,,,,357,,,g1217
360,snakes,Nerodia_rhombifer,GSD,genus.or.family.in.TreeOfSex,0.524,0.280,0.457,1.5,2.5,,,42,25,127,v27
363,snakes,Nerodia_sipedon,GSD,genus.or.family.in.TreeOfSex,,,,,,0.545,0.520,,,425,95
362,snakes,Nerodia_sipedon,GSD,genus.or.family.in.TreeOfSex,0.478,,0.655,3.0,4.0,0.445,0.470,1240,,807,"95, new61, new62"
361,snakes,Nerodia_sipedon,GSD,genus.or.family.in.TreeOfSex,,0.522,,,,,,,23,,g39
364,snakes,Nerodia_taxispilota,GSD,genus.or.family.in.TreeOfSex,,,0.608,3.0,5.5,,,,,744,na7
365,snakes,Notechis_scutatus,GSD,species.in.TreeOfSex,,,0.733,,,,,,,292,97
366,snakes,Notechis_scutatus,GSD,species.in.TreeOfSex,,,,2.0,2.0,,,,,,m13
367,snakes,Opheodrys_aestivus,GSD,genus.or.family.in.TreeOfSex,0.475,0.500,0.510,1.7,2.3,0.612,0.514,141,78,323,"new87, new88"
368,crocs,Paleosuchus_trigonatus,TSD,species.in.TreeOfSex,0.338,,,20.0,11.0,,,65,,,"294, 296"
369,turtles,Pelodiscus_sinensis,GSD,species.in.TreeOfSex,0.509,,,,,,,116,,,1015
370,turtles,Pelodiscus_sinensis,GSD,species.in.TreeOfSex,0.526,,,,,,,234,,,1016
371,turtles,Pelodiscus_sinensis,GSD,species.in.TreeOfSex,0.514,,,,,,,220,,,1016
372,turtles,Pelodiscus_sinensis,GSD,species.in.TreeOfSex,0.406,,,,,,,143,,,1016
373,turtles,Pelodiscus_sinensis,GSD,species.in.TreeOfSex,0.456,,,,,,,114,,,1016
374,turtles,Pelodiscus_sinensis,GSD,species.in.TreeOfSex,0.514,,,,,,,296,,,1016
375,turtles,Pelodiscus_sinensis,GSD,species.in.TreeOfSex,0.516,,,,,,,364,,,1016
376,lizards,Phelsuma_madagascariensis,TSD,species.in.TreeOfSex,,,0.457,,,,,,,46,1025
377,lizards,Phrynosoma_cornutum,GSD,genus.or.family.in.TreeOfSex,,0.469,0.474,1.7,1.7,0.355,0.355,,32,97,1053ab
378,snakes,Pituophis_melanoleucus,GSD,genus.or.family.in.TreeOfSex,0.567,,,,,,,97,,,g72
379,snakes,Pituophis_melanoleucus,GSD,genus.or.family.in.TreeOfSex,0.675,,0.672,,,,,120,,137,g75a
380,lizards,Podarcis_bocagei,GSD,genus.or.family.in.TreeOfSex,0.511,0.387,0.363,1.5,1.5,0.316,0.283,174,117,48,"277, m54"
381,lizards,Podarcis_hispanica,GSD,species.in.TreeOfSex,0.570,,,,,,,86,,,238
Kaliontzopoulou,lizards,Podarcis_hispanica,GSD,species.in.TreeOfSex,,,,1.0,1.0,,,,,,m48
386,lizards,Podarcis_muralis,GSD,genus.or.family.in.TreeOfSex,,,0.578,,,,,,,97,117
385,lizards,Podarcis_muralis,GSD,genus.or.family.in.TreeOfSex,,,0.556,,,,,,,54,118
382,lizards,Podarcis_muralis,GSD,genus.or.family.in.TreeOfSex,,,0.604,,,,,,,106,"116, 280"
383,lizards,Podarcis_muralis,GSD,genus.or.family.in.TreeOfSex,0.517,,,,,,,29,,,g41
384,lizards,Podarcis_muralis,GSD,genus.or.family.in.TreeOfSex,,0.498,0.437,,,0.746,0.816,,267,135,g48
387,lizards,Podarcis_muralis,GSD,genus.or.family.in.TreeOfSex,,,,2.0,2.0,,,,,,m43
388,lizards,Podarcis_sicula,GSD,genus.or.family.in.TreeOfSex,,,0.569,,,,,,,102,119
389,turtles,Podocnemis_erythrocephala,TSD,species.in.TreeOfSex,,,0.329,9.0,9.0,,,,,3669,"120, m56"
2089def,turtles,Podocnemis_expansa,TSD,species.in.TreeOfSex,0.027,,,,,,,300,,,2089
2092,turtles,Podocnemis_expansa,TSD,species.in.TreeOfSex,0.033,,,,,,,,,,2092
2093,turtles,Podocnemis_expansa,TSD,species.in.TreeOfSex,0.622,,,,,,,90,,,2093
2094,turtles,Podocnemis_expansa,TSD,species.in.TreeOfSex,0.069,,,,,,,173,,,2094
2098,turtles,Podocnemis_expansa,TSD,species.in.TreeOfSex,0.347,,,,,,,386,,,2098new
390,turtles,Podocnemis_expansa,TSD,species.in.TreeOfSex,,0.289,0.589,,,,,,380,265,g66
2084ab,turtles,Podocnemis_lewyana,TSD,species.in.TreeOfSex,0.349,,,,,,,350,,,2084
2085b,turtles,Podocnemis_lewyana,TSD,species.in.TreeOfSex,,,0.557,3.5,5.5,0.181,0.181,,,201,2085
"2087a,c",turtles,Podocnemis_sextuberculata,TSD,species.in.TreeOfSex,,0.141,0.816,,,,,,320,1778,2087
"2087d,f",turtles,Podocnemis_sextuberculata,TSD,species.in.TreeOfSex,,0.092,0.827,,,,,,174,1112,2087
2089abc,turtles,Podocnemis_sextuberculata,TSD,species.in.TreeOfSex,0.163,,,,,,,135,,,2089
2089ghi,turtles,Podocnemis_unifilis,TSD,species.in.TreeOfSex,0.381,,,,,,,155,,,2089
2090,turtles,Podocnemis_unifilis,TSD,species.in.TreeOfSex,,,0.655,,,,,,,562,2090
2096b,turtles,Podocnemis_unifilis,TSD,species.in.TreeOfSex,,,0.765,,,,,,,51,2096
392,turtles,Podocnemis_unifilis,TSD,species.in.TreeOfSex,0.724,,,,,,,380,,,g67
391,turtles,Podocnemis_unifilis,TSD,species.in.TreeOfSex,,,0.902,,,,,,,782,g68
394,lizards,Psammodromus_algirus,GSD,species.in.TreeOfSex,,,0.589,,,,,,,90,122
393,lizards,Psammodromus_algirus,GSD,species.in.TreeOfSex,,,0.618,,,0.647,0.652,,,57,v28
396,turtles,Pseudemys_concinna,TSD,species.in.TreeOfSex,,,0.487,,,,,,,115,505
397,turtles,Pseudemys_concinna,TSD,species.in.TreeOfSex,,,0.546,,,,,,,291,559
398,turtles,Pseudemys_concinna,TSD,species.in.TreeOfSex,,,0.655,,,,,,,45,672
395,turtles,Pseudemys_concinna,TSD,species.in.TreeOfSex,,,0.438,,,,,,,80,673
399,turtles,Pseudemys_concinna,TSD,species.in.TreeOfSex,,0.152,0.632,7.0,13.0,,,,105,68,"674, m52"
400,turtles,Pseudemys_floridana,TSD,species.in.TreeOfSex,,,0.600,,,,,,,30,682
401,turtles,Pseudemys_floridana,TSD,species.in.TreeOfSex,,,0.798,,,,,,,1736,682
402,turtles,Pseudemys_floridana,TSD,species.in.TreeOfSex,,,,3.0,6.5,,,,,,m31
403,turtles,Pseudemys_nelsoni,TSD,species.in.TreeOfSex,,,0.552,,,0.030,0.020,,,57,728
404,turtles,Pseudemys_nelsoni,TSD,species.in.TreeOfSex,,,,3.5,7.8,,,,,,m22
405,turtles,Pseudemys_peninsularis,TSD,species.in.TreeOfSex,,,0.666,,,0.030,0.040,,,209,728
406,turtles,Pseudemys_peninsularis,TSD,species.in.TreeOfSex,,,,3.5,7.8,,,,,,m22
407,snakes,Rhabdophis_tigrinus,GSD,species.in.TreeOfSex,,,0.667,1.3,1.3,,,,,48,2634
408,lizards,Sceloporus_graciosus,GSD,species.in.TreeOfSex,0.490,0.471,0.482,2.0,2.1,0.461,0.426,150,937,454,"g5, g6"
409,lizards,Sceloporus_grammicus,GSD,species.in.TreeOfSex,,0.500,0.472,,,0.818,0.819,,,,125
410,lizards,Sceloporus_grammicus,GSD,species.in.TreeOfSex,,,,1.0,1.2,,,,,,m5
411,lizards,Sceloporus_jarrovi,GSD,species.in.TreeOfSex,,,0.435,,,,,,,214,126
413,lizards,Sceloporus_jarrovi,GSD,species.in.TreeOfSex,0.485,0.482,0.400,,,0.470,0.640,171,,70,g1
412,lizards,Sceloporus_jarrovi,GSD,species.in.TreeOfSex,,0.400,0.488,0.4,0.8,,,,140,93,"g2, m50"
414,lizards,Sceloporus_poinsetti,GSD,species.in.TreeOfSex,,0.400,0.488,,,,,,33,38,g2
415,lizards,Sceloporus_scalaris,GSD,species.in.TreeOfSex,,,0.467,,,0.873,0.877,,,,128
416,lizards,Sceloporus_scalaris,GSD,species.in.TreeOfSex,,0.464,0.298,,,0.619,0.764,,168,104,na4
422,lizards,Sceloporus_undulatus,GSD,species.in.TreeOfSex,,,0.438,,,,,,,96,129
418,lizards,Sceloporus_undulatus,GSD,species.in.TreeOfSex,,0.448,0.388,,,0.751,0.684,,183,317,g7
420,lizards,Sceloporus_undulatus,GSD,species.in.TreeOfSex,,0.434,0.563,,,0.670,0.670,,113,80,v29
421,lizards,Sceloporus_undulatus,GSD,species.in.TreeOfSex,,0.434,0.400,,,0.580,0.560,,143,30,v29
419,lizards,Sceloporus_undulatus,GSD,species.in.TreeOfSex,,0.420,0.389,,,0.660,0.510,,138,90,v29
417,lizards,Sceloporus_undulatus,GSD,species.in.TreeOfSex,,0.493,,,,,,,136,,v29
423,lizards,Sceloporus_undulatus,GSD,species.in.TreeOfSex,,,0.472,0.2,0.2,0.687,0.703,,,305,v30
424,lizards,Sceloporus_virgatus,GSD,genus.or.family.in.TreeOfSex,,0.539,0.455,,,0.626,0.688,,115,235,130
425,lizards,Sceloporus_virgatus,GSD,genus.or.family.in.TreeOfSex,0.483,,0.620,,,0.451,0.613,176,,279,g77
426,snakes,Sistrurus_catenatus,GSD,genus.or.family.in.TreeOfSex,0.560,,,,,,,207,,,g1217
427,snakes,Sistrurus_miliarius,GSD,genus.or.family.in.TreeOfSex,0.500,,,,,,,1024,,,g1217
430,lizards,Sphenodon_punctatus,TSD,species.in.TreeOfSex,,,0.560,,,,,,,84,225
431,lizards,Sphenodon_punctatus,TSD,species.in.TreeOfSex,,,0.510,,,,,,,147,225
428,lizards,Sphenodon_punctatus,TSD,species.in.TreeOfSex,,,0.644,20.0,22.7,0.051,0.051,,,621,"132, 224, 223"
429,lizards,Sphenodon_punctatus,TSD,species.in.TreeOfSex,0.640,,0.667,,,,,140,,81,"222, 226"
432,turtles,Staurotypus_triporcatus,GSD,species.in.TreeOfSex,0.400,,0.440,,,,,21,,386,503
433,snakes,Stegonotus_cucullatus,GSD,genus.or.family.in.TreeOfSex,,,0.779,,,,,,,208,134
2042h,turtles,Sternotherus_carinatus,TSD,species.in.TreeOfSex,,,0.379,4.0,4.0,,,,,58,2042
435,turtles,Sternotherus_minor,TSD,species.in.TreeOfSex,,,0.600,,,,,,,65,505
434,turtles,Sternotherus_minor,TSD,species.in.TreeOfSex,,,0.681,,,0.030,0.030,,,214,728
2052b,turtles,Sternotherus_minor,TSD,species.in.TreeOfSex,,,0.500,,,,,,,149,2052
436,turtles,Sternotherus_minor,TSD,species.in.TreeOfSex,,,,5.6,8.0,,,,,,m34
440,turtles,Sternotherus_odoratus,TSD,species.in.TreeOfSex,,,0.613,,,,,,,31,162
442,turtles,Sternotherus_odoratus,TSD,species.in.TreeOfSex,,,0.661,,,,,,,56,481
443,turtles,Sternotherus_odoratus,TSD,species.in.TreeOfSex,,,0.261,,,,,,,92,481
444,turtles,Sternotherus_odoratus,TSD,species.in.TreeOfSex,,,0.582,,,,,,,292,540
445,turtles,Sternotherus_odoratus,TSD,species.in.TreeOfSex,,,0.467,,,,,,,15,548
439,turtles,Sternotherus_odoratus,TSD,species.in.TreeOfSex,,,0.629,,,,,,,383,559
441,turtles,Sternotherus_odoratus,TSD,species.in.TreeOfSex,,,0.478,2.0,4.0,0.159,0.158,,,556,578
437,turtles,Sternotherus_odoratus,TSD,species.in.TreeOfSex,,,0.385,,,,,,,39,682
438,turtles,Sternotherus_odoratus,TSD,species.in.TreeOfSex,,,0.653,,,,,,,449,682
2042g,turtles,Sternotherus_odoratus,TSD,species.in.TreeOfSex,,,0.506,6.0,6.0,,,,,233,2042
2047e,turtles,Sternotherus_odoratus,TSD,species.in.TreeOfSex,,,0.758,,,,,,,178,2047
2048a,turtles,Sternotherus_odoratus,TSD,species.in.TreeOfSex,,,0.639,,,,,,,,2048
2050,turtles,Sternotherus_odoratus,TSD,species.in.TreeOfSex,,,0.575,,,,,,,146,2050
446,snakes,Storeria_dekayi,GSD,species.in.TreeOfSex,,,0.451,,,,,,,512,g61
447,snakes,Storeria_dekayi,GSD,species.in.TreeOfSex,,,,2.5,3.5,,,,,,m26
448,lizards,Tarentola_annularis,TSD,species.in.TreeOfSex,,,0.630,,,,,,,46,1026
449,lizards,Tarentola_boettgeri,TSD,species.in.TreeOfSex,,,0.472,,,,,,,536,1027
451,lizards,Tarentola_mauritanica,TSD,species.in.TreeOfSex,,,0.685,,,,,,,111,1028
450,lizards,Tarentola_mauritanica,TSD,species.in.TreeOfSex,,,0.359,,,,,,,64,1029
453,turtles,Terrapene_carolina,TSD,species.in.TreeOfSex,,,0.693,,,,,,,397,136
454,turtles,Terrapene_carolina,TSD,species.in.TreeOfSex,,,0.542,,,,,,,48,136
455,turtles,Terrapene_carolina,TSD,species.in.TreeOfSex,,,0.674,,,,,,,86,136
456,turtles,Terrapene_carolina,TSD,species.in.TreeOfSex,,,0.493,,,,,,,138,136
457,turtles,Terrapene_carolina,TSD,species.in.TreeOfSex,,,0.686,,,,,,,35,599
452,turtles,Terrapene_carolina,TSD,species.in.TreeOfSex,,,0.673,8.5,10.5,0.077,0.089,,,,730
2001b,turtles,Terrapene_carolina,TSD,species.in.TreeOfSex,,,0.617,,,,,,,247,2001
2004a,turtles,Terrapene_carolina,TSD,species.in.TreeOfSex,,,0.478,,,,,,,245,2004
2005,turtles,Terrapene_carolina,TSD,species.in.TreeOfSex,,,0.365,,,,,,,74,2005
2006,turtles,Terrapene_carolina,TSD,species.in.TreeOfSex,,,0.538,,,,,,,132,2006
2008,turtles,Terrapene_carolina,TSD,species.in.TreeOfSex,,,0.550,,,,,,,111,2008
2010a,turtles,Terrapene_carolina,TSD,species.in.TreeOfSex,,,0.545,,,,,,,90,2010
2010b,turtles,Terrapene_carolina,TSD,species.in.TreeOfSex,,,0.543,,,,,,,35,2010
2014,turtles,Terrapene_carolina,TSD,species.in.TreeOfSex,,,0.459,,,,,,,248,2014
459,turtles,Terrapene_ornata,TSD,species.in.TreeOfSex,,,0.411,,,0.100,0.010,,,73,737
2018a,turtles,Terrapene_ornata,TSD,species.in.TreeOfSex,,,0.352,7.0,8.0,,,,,88,2018
2019,turtles,Terrapene_ornata,TSD,species.in.TreeOfSex,,,0.471,,,,,,,348,2019
2020d,turtles,Terrapene_ornata,TSD,species.in.TreeOfSex,,,0.343,,,,,,,210,2020
2022,turtles,Terrapene_ornata,TSD,species.in.TreeOfSex,,,0.493,9.0,9.0,,,,,136,2022
2023b,turtles,Terrapene_ornata,TSD,species.in.TreeOfSex,,,0.390,8.5,10.5,,,,,154,2023
2025,turtles,Terrapene_ornata,TSD,species.in.TreeOfSex,,,0.377,,,0.300,0.095,,,414,2025
458,turtles,Terrapene_ornata,TSD,species.in.TreeOfSex,,,0.459,,,0.117,0.068,,,109,g58
460,turtles,Terrapene_ornata,TSD,species.in.TreeOfSex,,,0.390,,,0.187,0.184,,,100,g59
462,turtles,Testudo_graeca,TSD,species.in.TreeOfSex,,,0.515,7.5,10.0,,,,,68,157
464,turtles,Testudo_graeca,TSD,species.in.TreeOfSex,,,0.577,,,,,,,26,692
465,turtles,Testudo_graeca,TSD,species.in.TreeOfSex,,,0.387,,,,,,,31,692
466,turtles,Testudo_graeca,TSD,species.in.TreeOfSex,,,0.534,,,,,,,73,692
467,turtles,Testudo_graeca,TSD,species.in.TreeOfSex,,,0.538,,,,,,,91,692
463,turtles,Testudo_graeca,TSD,species.in.TreeOfSex,,,0.611,7.0,8.5,,,,,163,"727, 720"
468,turtles,Testudo_graeca,TSD,species.in.TreeOfSex,,,,7.0,9.0,,,,,,m27
470,turtles,Testudo_graeca,TSD,species.in.TreeOfSex,,,,5.8,7.7,,,,,,m6
471,turtles,Testudo_graeca,TSD,species.in.TreeOfSex,,,,7.6,10.5,,,,,,m6
469,turtles,Testudo_graeca,TSD,species.in.TreeOfSex,,,,6.0,8.3,,,,,,m6
478,turtles,Testudo_hermanni,TSD,species.in.TreeOfSex,,,0.604,,,,,,,53,158
472,turtles,Testudo_hermanni,TSD,species.in.TreeOfSex,,,0.775,9.0,11.0,0.086,0.123,,,,690
475,turtles,Testudo_hermanni,TSD,species.in.TreeOfSex,,,0.375,12.0,13.0,,,,,48,703
476,turtles,Testudo_hermanni,TSD,species.in.TreeOfSex,,,0.667,,,,,,,82,708
477,turtles,Testudo_hermanni,TSD,species.in.TreeOfSex,,,0.584,,,,,,,178,712
473,turtles,Testudo_hermanni,TSD,species.in.TreeOfSex,,,0.929,,,,,,,1206,726
474,turtles,Testudo_hermanni,TSD,species.in.TreeOfSex,,,0.470,,,,,,,322,726
479,snakes,Thamnophis_marcianus,GSD,species.in.TreeOfSex,0.485,0.567,0.400,,,,,194,30,135,283
480,snakes,Thamnophis_proximus,GSD,genus.or.family.in.TreeOfSex,0.560,,,,,,,237,,,g1217
481,snakes,Thamnophis_radix,GSD,species.in.TreeOfSex,0.530,,,,,,,137,,,g1217
482,snakes,Thamnophis_radix,GSD,species.in.TreeOfSex,0.419,0.531,0.486,2.0,2.0,0.630,0.550,43,32,140,g99
483,snakes,Thamnophis_sauritus,GSD,genus.or.family.in.TreeOfSex,,,0.532,,,,,,,109,g80
484,snakes,Thamnophis_sauritus,GSD,genus.or.family.in.TreeOfSex,,,,2.0,2.0,,,,,,m17
485,snakes,Thamnophis_scalaris,GSD,genus.or.family.in.TreeOfSex,0.321,,,,,,,28,,,g18
486,snakes,Thamnophis_sirtalis,GSD,genus.or.family.in.TreeOfSex,,,0.595,,,,,,,74,211
487,snakes,Thamnophis_sirtalis,GSD,genus.or.family.in.TreeOfSex,0.510,,,,,,,652,,,g1217
490,snakes,Thamnophis_sirtalis,GSD,genus.or.family.in.TreeOfSex,,,,1.7,2.0,,,,,,m17
488,snakes,Thamnophis_sirtalis,GSD,genus.or.family.in.TreeOfSex,0.470,,,,,,,,,,new79
489,snakes,Thamnophis_sirtalis,GSD,genus.or.family.in.TreeOfSex,0.553,,,,,,,197,,,new79
2068b,turtles,Trachemys_adiutrix,TSD,species.in.TreeOfSex,,,0.429,,,,,,,35,2068
492,turtles,Trachemys_scripta,TSD,species.in.TreeOfSex,,,0.473,,,,,,,635,139
506,turtles,Trachemys_scripta,TSD,species.in.TreeOfSex,,,0.524,,,,,,,5053,140
503,turtles,Trachemys_scripta,TSD,species.in.TreeOfSex,,,0.424,,,,,,,1070,481
504,turtles,Trachemys_scripta,TSD,species.in.TreeOfSex,,,0.375,,,,,,,40,481
491,turtles,Trachemys_scripta,TSD,species.in.TreeOfSex,0.780,,0.686,,,,,9,,283,503
497,turtles,Trachemys_scripta,TSD,species.in.TreeOfSex,,,0.638,,,,,,,320,505
505,turtles,Trachemys_scripta,TSD,species.in.TreeOfSex,,,0.442,,,,,,,77,518
507,turtles,Trachemys_scripta,TSD,species.in.TreeOfSex,,,0.469,,,,,,,179,540
499,turtles,Trachemys_scripta,TSD,species.in.TreeOfSex,,,0.728,,,,,,,2168,559
493,turtles,Trachemys_scripta,TSD,species.in.TreeOfSex,,,0.548,,,,,,,93,682
494,turtles,Trachemys_scripta,TSD,species.in.TreeOfSex,,,0.578,,,,,,,187,682
495,turtles,Trachemys_scripta,TSD,species.in.TreeOfSex,,,0.588,,,,,,,68,682
496,turtles,Trachemys_scripta,TSD,species.in.TreeOfSex,,,0.733,,,,,,,2017,682
500,turtles,Trachemys_scripta,TSD,species.in.TreeOfSex,,,0.463,,,,,,,54,g46
501,turtles,Trachemys_scripta,TSD,species.in.TreeOfSex,,,0.713,,,,,,,122,g46
502,turtles,Trachemys_scripta,TSD,species.in.TreeOfSex,,,0.453,,,,,,,117,g46
498,turtles,Trachemys_scripta,TSD,species.in.TreeOfSex,,0.593,0.682,3.5,7.5,0.246,0.141,,91,179,g62
508,turtles,Trachemys_scripta,TSD,species.in.TreeOfSex,0.630,,,,,,,568,,,g65
509,snakes,Trimeresurus_stejnegeri,GSD,genus.or.family.in.TreeOfSex,0.556,0.529,0.736,,,,,90,68,178,g71
511,lizards,Tropidurus_albemarlensis,GSD,genus.or.family.in.TreeOfSex,,,,2.7,3.0,,,,,,m12
510,lizards,Tropidurus_albemarlensis,GSD,genus.or.family.in.TreeOfSex,,,0.383,,,,,,,201,na3
512,lizards,Tropidurus_hispidus,GSD,species.in.TreeOfSex,,0.273,0.421,,,,,,22,235,176
513,lizards,Tropidurus_itambere,GSD,genus.or.family.in.TreeOfSex,,0.490,0.460,0.4,0.4,0.759,0.674,,290,255,144
514,lizards,Tropidurus_torquatus,GSD,species.in.TreeOfSex,,0.420,0.389,0.3,0.4,0.836,0.873,,50,190,"new81, m55"
515,lizards,Underwoodisaurus_milii,GSD,species.in.TreeOfSex,,,0.519,,,,,,,79,1037
516,lizards,Underwoodisaurus_milii,GSD,species.in.TreeOfSex,,,0.500,,,,,,,30,1037
517,lizards,Uta_stansburiana,GSD,species.in.TreeOfSex,0.520,0.468,0.510,0.8,0.8,,,126,111,1009,"g10, m51"
518,lizards,Uta_stansburiana,GSD,species.in.TreeOfSex,0.494,,0.463,,,0.492,0.486,87,,326,g49
519,lizards,Uta_stansburiana,GSD,species.in.TreeOfSex,,,,,,0.670,0.630,,,143,new82
520,lizards,Uta_stansburiana,GSD,species.in.TreeOfSex,,,0.442,,,,,,,1884,v31
521,lizards,Varanus_albigularis,GSD,species.in.TreeOfSex,,,0.561,,,,,,,205,na5
522,lizards,Varanus_salvator,TSD,species.in.TreeOfSex,,,0.485,2.0,2.0,,,,,33,1030
523,snakes,Vipera_aspis,GSD,species.in.TreeOfSex,,,0.531,,,,,,,988,220
524,snakes,Vipera_aspis,GSD,species.in.TreeOfSex,,,,1.0,3.0,,,,,,m21
527,snakes,Vipera_berus,GSD,species.in.TreeOfSex,,,0.580,,,0.333,0.473,,,352,202
526,snakes,Vipera_berus,GSD,species.in.TreeOfSex,0.434,,0.558,3.5,4.5,0.250,0.290,401,,86,"new83, new84"
525,snakes,Vipera_berus,GSD,species.in.TreeOfSex,0.506,,0.510,,,0.320,0.140,79,,155,v33
528,snakes,Vipera_ursinii,GSD,species.in.TreeOfSex,0.490,,,,,,,360,,,g11
529,snakes,Xenochrophis_piscator,GSD,species.in.TreeOfSex,0.550,,,,,,,249,,,g81