species,F.cm.maxSVL/CL,M.cm.maxSVL/CL,dataset,Notes for exception
Acanthochelys_pallidipectoris,23.5,20.75,Rhodin et al. 1990,
Acanthochelys_radiolata,19.55,17.85,Mocelin et al. 2008,
Acanthophis_antarcticus,43.9,57.9,Greer 1997,
Acanthophis_laevis,43.9,57.9,Greer 1997,
Acanthophis_pyrrhus,43.9,57.9,Greer 1997,
Acanthophis_rugosus,43.9,57.9,Greer 1997,
Acrantophis_madagascariensis,180,300.5,O'Shea 2007,
Agkistrodon_contortrix,66,76,Carey and Judge 2002,
Agkistrodon_taylori,67,96,Carey and Judge 2002,
Amphiesma_stolatum,70,60,Inger et al. 1990,
Anilios_wiedii,23.5,19.6,Greer 1997,
Antaioserpens_warro,29,33.5,De Magalhaes and Costa 2009,
Antaresia_childreni,68.8,71.8,De Magalhaes and Costa 2009,
Antaresia_perthensis,44.9,47.3,De Magalhaes and Costa 2009,
Apalone_ferox,55.1425,29.8625,Meylan and Moler 2006,
Apalone_mutica,35.425,20.9425,Ernst  and Lovich 2009,
Aspidites_melanocephalus,156.1,159.3,Greer 1997,
Aspidites_ramsayi,152.15,158.8,Greer 1997,
Aspidomorphus_lineaticollis,41.3,35,Greer 1997,
Aspidomorphus_muelleri,52.55,53.1,Greer 1997,
Aspidomorphus_schlegelii,50.8,35.9,Greer 1997,
Astrochelys_yniphora,43.05,46.62,Leuteritz 2008,
Austrelaps_labialis,48.4,42.7,Greer 1997,
Austrelaps_ramsayi,73.85,64.1,Greer 1997,
Austrelaps_superbus,78.1,69.7,Greer 1997,
Brachyurophis_australis,22.7,27.5,Greer 1997,
Brachyurophis_fasciolatus,25.8,29.4,Greer 1997,
Brachyurophis_incinctus,24.8,23.3,Greer 1997,
Brachyurophis_roperi,25.5,28.2,Greer 1997,
Brachyurophis_semifasciatus,24.2,27.1,Greer 1997,
Cacophis_harriettae,31.6,42.25,Greer 1997,
Cacophis_krefftii,26.1,29.85,Greer 1997,
Cacophis_squamulosus,39.1,50.65,Greer 1997,
Centrochelys_sulcata,57.8,93.5,Petrozzi et al. 2018,
Chelodina_longicollis,26.2,22.375,Kennett et al. 2010,
Chelodina_parkeri,33.86666667,27.1,Kennett et al. 2014,
Chelodina_reimanni,21.06666667,17.3,Artner 1995,
Deirochelys_reticularia,23.7,16.13333333,Carr 1952,
Demansia_calodera,45.9,42.9,Greer 1997,
Demansia_olivacea,45.9,42.9,Greer 1997,
Demansia_papuensis,71.05,70.2,Greer 1997,
Demansia_psammophis,57,52.45,Greer 1997,
Demansia_torquata,55.6,52,Greer 1997,
Demansia_vestigiata,75.8,65.5,Greer 1997,
Dendrelaphis_punctulatus,82.85,97.8,Bennett 1986,
Drysdalia_coronoides,27.2,30.1,Greer 1997,
Drysdalia_mastersii,22.1,22.7,Greer 1997,
Drysdalia_rhodogaster,30.4,30.9,Greer 1997,
Fordonia_leucobalia,49.1,51.2,"Bennett 1986, Greer 1997 ",
Furina_barnardi,28.8,44,Greer 1997,
Furina_diadema,24.3,27.05,Greer 1997,
Furina_ornata,29.1,36.5,Greer 1997,
Furina_tristis,60.9,58.4,Greer 1997,
Gloydius_liupanensis,94,64,Carey and Judge 2002,
Gloydius_strauchi,61,57.9,Carey and Judge 2002,
Glyptemys_insculpta,20.75,22.85,Bowen & Gillingham 2004,
Glyptemys_muhlenbergii,9.533333333,10.56666667,Bloomer 2004,
Graptemys_barbouri,31.925,13.25,Roger 1975,
Graptemys_caglei,19.83333333,11.73333333,Powell et al. 2016,
Graptemys_ernsti,28.5,13.06666667,van Dijk 2016,
Graptemys_flavimaculata,20.275,11.575,van Dijk 2016,
Graptemys_geographica,27.22,15.28,Ernst Lovich 2009,
Graptemys_nigrinoda,21.35,11.6,van Dijk 2016,
Graptemys_oculifera,21.7,10.36666667,Conant 1975,
Graptemys_ouachitensis,25.25,14.5,Smith and Brodie 1982,
Graptemys_pulchra,28.7,16.05,Baurv 1893,
Graptemys_sabinensis,18.66666667,11.06666667,Lindeman 2013,
Graptemys_versa,19.15,10.6, Conant  1975,
Hemiaspis_damelii,40.2,43.2,Greer 1997,
Hemiaspis_signata,40.85,37.55,Greer 1997,
Kinosternon_alamosae,11.6,12.608, Iverson 1989,
Kinosternon_stejnegeri,16.715,18.115,Iverson 1989,
Laticauda_colubrina,125,127,Carey and Judge 2002,
Leiopython_albertisii,165.625,161.95,Carey and Judge 2002,
Liasis_fuscus,130.5,147.1,Greer 1997,
Liasis_olivaceus,175.9,190.1,Greer 1997,
Lissemys_punctata,28.9375,26.675,Ernst et al. 2007,
Lycodon_liuchengchaoi,15.2,61.5,Carey and Judge 2002,
Lycodon_rufozonatus,24.7,13.8,Carey and Judge 2002,
Malaclemys_terrapin,22.914,14.652,Davenport 1992,
Mauremys_nigricans,28.43333333,18.9,Anders 2012,
Mauremys_rivulata,21.83333333,20.56666667,Rifal & Amr 2004,
Micropechis_ikaheca,106.25,106.7,Greer 1997,
Morelia_bredli,165.5,190,Powell et al. 2016,
Morenia_petersi,22.73333333,16.93333333,Rhodin et al 2015,
Myron_richardsonii,26.1,31,Rhodin et al 2015,
Myuchelys_bellii,30,22.7,De Magalhaes and Costa 2009,
Myuchelys_georgesi,24,19.85,Rhodin et al 2015,
Myuchelys_latisternum,28.4,20.2,Cann et al. 2015,
Notechis_scutatus,89.35,80.8,Rhodin et al 2015,
Ophiophagus_hannah,570,205.5,Greer 1997,
Ovophis_makazayazaya,98,73,Meyers et al. 2009,
Ovophis_monticola,103,49,Meyers et al. 2009,
Ovophis_tonkinensis,65,55.2,Meyers et al. 2009,
Ovophis_zayuensis,11,68,De Magalhaes and Costa 2009,
Palea_steindachneri,44.5,36,Meyers et al. 2009,
Pelodiscus_sinensis,33,27,Gong et al. 2022,
Podocnemis_lewyana,45.66666667,34.33333333,Rivas 2015,
Pseudechis_australis,129.7,103.4,Meyers et al. 2009,
Pseudechis_butleri,103.6,92.5,Greer 1997,
Pseudechis_colletti,131.7,124.2,Greer 1997,
Pseudechis_guttatus,117.4,110.7,Greer 1997,
Pseudechis_papuanus,119.5,115.9,Meyers et al. 2009,
Pseudechis_porphyriacus,106,92.8,Greer 1997,
Pseudemys_alabamensis,35.125,29.625,Burbidge et al. 2010,
Pseudemys_concinna,39.9825,31.32,Baur 1893,
Pseudemys_nelsoni,34.825,28.1,Meyers et al. 2009,
Pseudoferania_polylepis,52.6,63.5,Rhodin 2011,
Pseudonaja_affinis,108.5,108.8,Rhodin 2011,
Pseudonaja_guttata,67.9,70.7,Rhodin 2011,
Pseudonaja_inframacula,108.5,101.8,Greer 1997,
Pseudonaja_ingrami,120.3,122.6,Greer 1997,
Pseudonaja_modesta,34.9,39.9,Rhodin 2011,
Pseudonaja_textilis,110.1,101.8,Rhodin 2011,
Rhinemys_rufipes,25.4,21.96666667,Greer 1997,
Rhinoclemmys_punctularia,21.614,18.96666667,Ernst 1978,
Rhinoclemmys_rubida,18.16333333,17.24333333,Wariss et al. 2012,
Rhinoplocephalus_bicolor,34.6,32.8,Rhodin 2011,
Simalia_amethistina,250.85,286.25,Rhodin 2011,
Simoselaps_anomalus,16.6,18.2,Franca et al. 2008,
Simoselaps_bertholdi,18.3,20.8,Greer 1997,
Sinomicrurus_kelloggi,62,64.8,Rhodin 2011,
Sinomicrurus_macclellandi,68.5,63.75,Greer 1997,
Sinomicrurus_peinani,75.3,62,Greer 1997,
Sphenodon_punctatus,33.55,43,"Gill, Whitaker 1996",
Sundatyphlops_polygrammicus,36.6,28.8,Rhodin 2011,
Suta_dwyeri,31.35,28.5,Meyers et al. 2009,
Suta_flagellum,26.45,26.5,Meyers et al. 2009,
Suta_gouldii,34.3,30.3,Meyers et al. 2009,
Suta_monachus,29.85,28.3,Meyers et al. 2009,
Suta_nigriceps,34.95,32,Meyers et al. 2009,
Suta_spectabilis,29.9,26.7,Meyers et al. 2009,
Testudo_graeca,23.225,22.515,Meyers et al. 2009,
Testudo_horsfieldii,38.99,32.7,Bonin et al. 2006,
Thamnophis_sirtalis,40,50,Meyers et al. 2009,
Trachemys_dorbigni,26.66666667,23.43333333,Meyers et al. 2009,
Trachemys_scripta,29.5325,23.2075,Meyers et al. 2009,
Trachemys_terrapen,28.5,22.15,Meyers et al. 2009,
Tropidonophis_mairii,49.05,56.85,Meyers et al. 2009,
Acanthochelys_macrocephala,29.5,23.5,Rhodin et al. 2009 CBFTT,
Acanthochelys_spixii,18,17.8,Bager et al. 2016,
Chelus_fimbriata,44.35,41.2,"Dixon and Soini 1977; Rhodin, unpubl. Data",
Chelus_orinocensis,52.6,48.5,Kabisch 1997; Meier and Schaefer 2003; Barrio-Amorós and Manrique 2006; Pritchard 2008 CBFTT; Vargas-Ramírez et al. 2020,
Mesoclemmys_dahli,25.6,19.95,Forero-Medina et al. 2013 CBFTT,
Mesoclemmys_gibba,20.65,18.5,Pritchard and Trebbau 1984; Ernst et al. 2006b; Itescu et al. 2014,
Mesoclemmys_jurutiensis,22.8,17.9,Cunha et al. 2021,
Mesoclemmys_nasuta,26.8,28.35,Pritchard and Trebbau 1984; Métrailler and Le Gratiet 1996,
Mesoclemmys_perplexa,21.4,16.9,Maran 2006,
Mesoclemmys_raniceps,32.75,29.2,Brito et al. 2019,
Mesoclemmys_tuberculata,25,19.6,"Santana et al. 2016 CBFTT; Rhodin, unpubl. Data",
Mesoclemmys_vanderhaegei,27.1,25.25,Marques et al. 2014 CBFTT,
Mesoclemmys_wermuthi,33.8,23.2,"Molina et al. 2012; Rhodin and Mittermeier, unpubl. Data)",
Mesoclemmys_zuliae,27.9,20.8,Pritchard and Trebbau 1984; Ceballos et al. 2013,
Phrynops_geoffroanus,39.65,39.5,"Souza and Abe 2001; Rhodin and Mittermeier, unpubl. data",
Phrynops_hilarii,40.8,35.6,"Ernst et al. 2006b; Rhodin and Mittermeier, unpubl. Data; Bager, unpubl. Data",
Phrynops_tuberosus,32.6,28.6,Pritchard and Trebbau 1984; Ceballos et al. 2013,
Phrynops_williamsi,35.43333333,25.76666667,Rhodin et al. 1988; Ceballos et al. 2013; Bressan and Verrastro 2020,
Platemys_platycephala,16.63333333,17.6,Turtle Taxonomy Working Group 2021,
Ranacephala_hogei,34,38,"Moreira 2002; Rhodin and Mittermeier, unpubl. Data",
Hydromedusa_maximiliani,18.5,18.4,Souza and Abe 1997; Souza and Martins 2009 CBFTT,
Hydromedusa_tectifera,30.6,28.4,Bager et al. 2003; Chinen et al. 2007; Regis and Meik 2017; Alcalde et al. 2021 CBFTT,
Chelodina_canni,25.95,16.9,"Ceballos et al. 2013; Cann and Sadlier 2017; Rhodin, unpubl. Data",
Chelodina_gunaleni,23.9,16.7,McCord and Joseph-Ouni 2007a,
Chelodina_mccordi,23.7,20.1,Turtle Taxonomy Working Group 2021,
Chelodina_novaeguineae,21.8,15.1,"Rhodin and Hall, unpubl. data",
Chelodina_pritchardi,22.8,18.6,Rhodin 1994a,
Chelodina_steindachneri,21.2,17.8,Glauert 1923; Cann and Sadlier 2017,
Chelodina_burrungandjii,26.9,22.05,Thomson et al. 2011 CBFTT,
Chelodina_expansa,50,33.7,"Cann and Legler 1994; Bower and Hodges 2014 CBFTT; Rhodin, unpubl. data",
Chelodina_rugosa,31.34,26.45,Georges et al. 2006; Lyons et al. 2013; Kennett et al. 2014 CBFTT,
Chelodina_walloyarrina,31.6,26.3,Thomson et al. 2011 CBFTT,
Chelodina_oblonga,31,23.3,"Bonnet et al. 2010; Cann and Sadlier 2017; Rhodin, unpubl. data",
Elseya_branderhorsti,48.1,40.2,Georges et al. 2006; Ceballos et al. 2013,
Elseya_dentata,32.94666667,27.63333333,Cann and Sadlier 2017,
Elseya_flaviventralis,34,26.5,Thomson and Georges 2016; Joseph-Ouni et al. 2020,
Elseya_novaeguineae,25.45,20,"Rhodin, unpubl. data",
Elseya_rhodini,27.6,20.5,Thomson et al. 2015,
Elseya_albagula,41.8,28.3,Thomson et al. 2006; Hamann et al. 2008,
Elseya_irwini,35.7,23.9,Itescu et al. 2014; Cann and Sadlier 2017; Freeman et al. 2018,
Elseya_lavarackorum,35.2,24.2,Freeman et al. 2014 CBFTT; Joseph-Ouni et al. 2020,
Elusor_macrurus,33.7,40.8,Cann and Legler 1994; Limpus 2008; Cann and Sadlier 2017,
Emydura_gunaleni,18.5,14.7,Smales et al. 2019,
Emydura_macquarii,30.67666667,26.25,Turtle Taxonomy Working Group 2021,
Emydura_subglobosa,25.575,18.675,Turtle Taxonomy Working Group 2021,
Myuchelys_purvisi,22.9,17.5,Cann and Sadlier 2017,
Rheodytes_leukops,26.2,26.2,Cann and Legler 1994,
Pseudemydura_umbrina,14.2,15.05,Burbidge 1967; Cann and Legler 1994; Durrell and Keeley 2019,
Pelomedusa_barbata,20.1,21.6,Gasperetti et al. 1993; Petzold et al. 2014,
Pelomedusa_galeata,29,32.5,Boycott and Bourquin 2008 CBFTT; Petzold et al. 2014,
Pelusios_adansonii,23.8,20,Bour 2008 CBFTT,
Pelusios_bechuanicus,33,30,Ceballos et al. 2013,
Pelusios_broadleyi,14.9,17.9,Prokop 2010,
Pelusios_castaneus,28.5,22.2,Segniagbeto et al. 2015; Bour et al. 2016 CBFTT,
Pelusios_castanoides,23,19,Turtle Taxonomy Working Group 2021,
Pelusios_cupulatta,27.1,31.3,"Luiselli and Petrozzi, unpubl. data",
Pelusios_gabonensis,27.2,32,Maran 2006c; maximum estimated: 33.0 cm (Branch 2008; Itescu et al. 2014),
Pelusios_marani,22.9,27.2,Bour 2000; Maran 2006a,
Pelusios_nanus,12.2,11.1,"Laurent 1956; Bour, unpubl. Data",
Pelusios_niger,27.25,35.25,Maran 2006a; Luiselli et al. 2018 CBFTT,
Pelusios_sinuatus,47.5,35,Turtle Taxonomy Working Group 2021,
Pelusios_subniger,21,15,Turtle Taxonomy Working Group 2021,
Pelusios_williamsi,23.8,19.7,Turtle Taxonomy Working Group 2021,
Erymnochelys_madagascariensis,43,45.8,Pedrono and Smith 2013,
Peltocephalus_dumerilianus,47,50,Iverson and Vogt 2002; Ceballos et al. 2013,
Podocnemis_erythrocephala,28.35,20.35,Mittermeier et al. 2015 CBFTT,
Podocnemis_expansa,90.26666667,53.33333333,Ceballos et al. 2013; Ferrara et al. 2017,
Podocnemis_sextuberculata,32.16666667,24.5,Fachín-Terán et al. 2003; Ferrara et al. 2017; Iverson et al. 2017,
Podocnemis_unifilis,47.62666667,35.34,Barrio Amorós 2001; Ceballos et al. 2013,
Podocnemis_vogli,34.33333333,25.63333333,Ceballos et al. 2013,
Caretta_caretta,106.7666667,109.5333333,Brongersma 1972; Caldwell et al. 1959; Pritchard and Trebbau 1984; Dodd 1988,
Eretmochelys_imbricata,90.5,85.045,Witzell 1983,
Lepidochelys_kempii,73.28333333,67.2,Ernst and Lovich 2009,
Lepidochelys_olivacea,77.37666667,71,Ceballos et al. 2013,
Chelonia_mydas,132.5,111,"Carr and Hirth 1962; Hirth 1980, 1997; Sanches and Bellini 2002",
Natator_depressus,95,88.4,"Limpus 2007, unpubl. data; Whittock et al. 2014",
Dermochelys_coriacea,181.75,197.25,Eckert and Luginbuhl 1988; Márquez 1990,
Chelydra_acutirostris,35.15,41,Medem 1977; Ceballos et al. 2013; Young-Valencia et al. 2014,
Chelydra_rossignonii,33,47,Legler and Vogt 2013,
Chelydra_serpentina,38.01,47.62666667,Gerholdt and Oldfield 1987; Pritchard 1989; Iverson et al. 1997; Johnston et al. 2012,
Macrochelys_suwanniensis,49.2,80,Pritchard 1980; Johnston et al. 2015,
Macrochelys_temminckii,51.6,66.51,Pritchard 1989; Boundy and Kennedy 2006,
Dermatemys_mawii,54.15,45.6,Vogt et al. 2011 CBFTT; Legler and Vogt 2013,
Kinosternon_abaxillare,15.7,15.8,"Iverson 2008, 2010; Legler and Vogt 2013; Reyes-Grajales et al. 2021",
Kinosternon_acutum,11.85333333,10.52333333,Iverson and Vogt 2011 CBFTT; Ceballos et al. 2013,
Kinosternon_angustipons,12,11.5,Legler 1965; Acuña-Mesén 1993; Ceballos et al. 2013,
Kinosternon_baurii,10.9125,10.1575,Pritchard 1980; Mitchell 1994; Ewert and Jackson 2005; Wilson et al. 2006; Ceballos et al. 2013,
Kinosternon_chimalhuaca,12.26,14.93,Berry et al. 1997; Legler and Vogt 2013,
Kinosternon_creaseri,11.91333333,12.49666667,Iverson 1991; Ceballos et al. 2013; Legler and Vogt 2013,
Kinosternon_dunni,15.53333333,17.66666667,Iverson et al. 2012 CBFTT,
Kinosternon_durangoense,13.69,17.25666667,Iverson 1989; Ceballos et al. 2013; Iverson et al. 2018,
Kinosternon_flavescens,12.34275,13.4925,Iverson 1989; Ceballos et al. 2013; Brown et al. 2020,
Kinosternon_herrerai,15.1,16.94666667,Carr and Mast 1988; Legler and Vogt 2013,
Kinosternon_hirtipes,14.705,16.97,Turtle Taxonomy Working Group 2021,
Kinosternon_integrum,17.3475,19.805,Macip-Ríos et al. 2009; Ceballos et al. 2013; Legler and Vogt 2103,
Kinosternon_leucostomum,18.88333333,20.25,Turtle Taxonomy Working Group 2021,
Kinosternon_oaxacae,14.45,16.65,Iverson 1986; Ceballos et al. 2013,
Kinosternon_scorpioides,16.005,16.62,Turtle Taxonomy Working Group 2021,
Kinosternon_sonoriense,16.0025,15.4975,Turtle Taxonomy Working Group 2021,
Kinosternon_steindachneri,10.6,11.4,Meshaka et al. 2017 CBFTT,
Kinosternon_subrubrum,10.77,10.53,Turtle Taxonomy Working Group 2021,
Kinosternon_vogti,8.9,10.2,López-Luna et al. 2018,
Sternotherus_carinatus,12.79666667,15.08,Iverson 2002; Lindeman 2008 CBFTT,
Sternotherus_depressus,10.66,9.216666667,Dodd 2008 CBFTT,
Sternotherus_intermedius,10.8,11.6,"Scott and Iverson, unpubl. data",
Sternotherus_minor,14.8975,11.53375,Camp 1986; Enge and Foster 1986; Zappalorti and Iverson 2006,
Sternotherus_odoratus,11.15333333,10.88666667,Ewert 2005; Ernst and Lovich 2009,
Sternotherus_peltifer,12.4,12.6,"Scott, unpubl. data",
Claudius_angustatus,13.7275,14.855,Iverson and Berry 1980; Ceballos et al. 2013; Legler and Vogt 2013,
Staurotypus_salvinii,17.9,16.45,"Legler and Vogt 2013; Smith and Smith (1980) and Dean and Bickham (1983) cite ca. 25 cm as maximum, but without documentation ",
Staurotypus_triporcatus,34.41,31.89666667,Legler and Vogt 2013,
Chrysemys_dorsalis,15.6,11.5,Carr 1952; Ernst and Lovich 2009,
Chrysemys_picta,21.74333333,19.36666667,Turtle Taxonomy Working Group 2021,
Graptemys_gibbonsi,29.5,14.1,Lovich et al. 2009 CBFTT,
Graptemys_pearlensis,29.5,12.1,Ennen et al. 2018 CBFTT,
Graptemys_pseudogeographica,27.41666667,14.93333333,Turtle Taxonomy Working Group 2021,
