species,F.cm.maxSVL/CL,M.cm.maxSVL/CL,dataset,Notes for exception
Bradypodion_occidentale,8.66,7.2,Dollion et al. 2017,
Bradypodion_pumilum,5.85,6.21,Dollion et al. 2017,
Bradypodion_setaroi,5.83,5.1,Dollion et al. 2017,
Bradypodion_sp.,4.89,4.63,Dollion et al. 2017,
Bradypodion_taeniabronchum,5.08,5.01,Dollion et al. 2017,
Bradypodion_thamnobates,6.84,6.1,Dollion et al. 2017,
Bradypodion_transvaalense,6.61,6.03,Dollion et al. 2017,
Bradypodion_ventrale,6.75,6.42,Dollion et al. 2017,
Crotaphytus_antiquus,8.83,10.04,Husack et al. 2006,
Dactyloa_frenata,8.89,11.46,Wittorski et al. 2016,
Elgaria_coerulea,9.23,8.83,McBrayer & Anderson 2007,
Gallotia_atlantica,6.34,9.11,Lopez-Darias et al. (2015),
Gallotia_bravoana,17.23,18.45,Lopez-Darias et al. (2015),
Gallotia_caesaris,8.46,9.69,Lopez-Darias et al. (2015),
Gallotia_galloti,9.33,11.34,Lopez-Darias et al. (2015),
Gallotia_intermedia,12.22,15.48,Lopez-Darias et al. (2015),
Gallotia_simonyi,19.61,23.65,Lopez-Darias et al. (2015),
Gallotia_stehlini,15.68,18.91,Lopez-Darias et al. (2015),
Karusasaurus_polyzonus,10.53,10.1,Broeckhoven & Mouton (2014),
Dalmatolacerta_oxycephala,5.29,5.84,Verwaijen et al. (2002),
Lacerta_trilineata,10.73,11.6,Sagonas et al. (2014),
Zootoca_vivipara,5.04,4.97,Herrel et al. 2001b,
Liolaemus_baguali,8.18,9.08,Cruz et al. 2021,
Liolaemus_bibronii,5.6,5.39,Cruz et al. 2021,
Liolaemus_canqueli,8.87,9.48,Cruz et al. 2021,
Liolaemus_celi,7.74,7.69,Cruz et al. 2021,
Liolaemus_coeruleus,6.33,6.15,Cruz et al. 2021,
Liolaemus_elongatus,6.88,7.28,Cruz et al. 2021,
Liolaemus_escachardosi,6.83,7.96,Cruz et al. 2021,
Liolaemus_fitzingeri,8.99,9.36,Cruz et al. 2021,
Liolaemus_hatcheri,5.91,5.99,Cruz et al. 2021,
Liolaemus_kingii,7.72,7.38,Cruz et al. 2021,
Liolaemus_kolengh,5.67,5.63,Cruz et al. 2021,
Liolaemus_lineomaculatus,5.55,5.78,Cruz et al. 2021,
Liolaemus_magellanicus,5.36,5.68,Cruz et al. 2021,
Liolaemus_mapuche,7.09,7.68,Cruz et al. 2021,
Liolaemus_poecilochromus,6.36,6.38,Cruz et al. 2021,
Liolaemus_petrophilus,7.96,8.43,Cruz et al. 2021,
Liolaemus_rothi,8.74,7.94,Cruz et al. 2021,
Liolaemus_scapularis,5.55,5.82,Cruz et al. 2021,
Liolaemus_scrocchii,8.7,9.04,Cruz et al. 2021,
Liolaemus_tenuis,5.19,5.3,Cruz et al. 2021,
Liolaemus_xanthoviridis,8.42,8.24,Cruz et al. 2021,
Liolaemus_zullyae,6.35,7.14,Cruz et al. 2021,
Norops_auratus,4.62,4.92,Wittorski et al. 2016,
Norops_humilis,3.52,3.51,Wittorski et al. 2016,
Ouroborus_cataphractus,10,10.5,Broeckhoven & Mouton (2014),
Phymaturus_tenebrosus,9.23,9.36,Cruz et al. 2021,
Podarcis bocagei,5,5.25,"Kaliontzopoulou et al.,2012",
Podarcis hispanicus,6.32,6.6,Herrel et al. 1996,
Podarcis_erhardii,6.58,6.85,Donihue et al. 2016,
Podarcis_melisellensis,5.7,6.54,Brecko et al. 2008,
Podarcis_muralis,5.56,5.63,Herrel et al. 2001b,
Sauromalus_ater,15.13,16.89,Lappin et al. 2006,
Uromastyx_aegyptia,22.43,20.54,Herrel et al. 2014,
Urosaurus_ornatus,5.06,4.94,Irschick & Meyers 2007,
Xenosaurus_grandis,11.25,10.98,Herrel et al. 2001a,
Xenosaurus_newmanorum,9.01,10.64,Herrel et al. 2001a,
Xenosaurus_platyceps,9.85,8.94,Herrel et al. 2001a,
Acanthodactylus_erythrurus,8.38,8.55,Castilla et al. 1992,
Agama_agama,32,30,Robert et al. 2020,
Agama_impalearis,12.5,13.4,Znari & El Mouden 1997,
Agkistrodon_piscivorus,82,91,Koons et al. 2009,
Alligator_mississippiensis,157.5,226,Woodward et al. 1995,
Amblyrhynchus_cristatus,32.1,41.3,Wikelski & Trillmich 1994,
Ameiva_erythrocephala,10.9,14,Kerr et al. 2006,
Amphibolurus_muricatus,9.3,9.8,Watt & Joss 2003,
Anolis_angusticeps,4.3,5.2,Schwartz & Thomas 1968,
Anolis_cupreus,4.41,4.9,Fleming & Hooker 1975,
Anolis_cybotes,6.6,7.7,Fobes et al. 1993,
Anolis_garmani,8.2,12.5,Siliceo-Cantero et al. 2016,
Anolis_mariarum,5.63,5.67,Rubio-Rocha et al. 2011,
Anolis_nebulosus,5.1,6.1,Anaya-Meraz & Escobedo-Galv·n 2020,
Anolis_schwartzi,4.6,5.3,Hensley et al. 2006,
Basiliscus_vittatus,19.4,25,van Devender 1978,
Boa_constrictor,285,223,Bertona & Chiaraviglio 2003,
Caiman_latirostris,98,93,Leiva et al. 2017,
Cerberus_schneiderii,96,96,Herlambang et al. 2022,
Chlamydosaurus_kingii,23.5,29,Bedford et al. 1993,
Christinus_marmoratus,4.7,5,Kearney et al. 2001,mean SVL
Coluber_constrictor,133,131.7,Rosen 1991,
Crocodylus_acutus,184.5,224,Briggs-Gonzalez 2021,
Crocodylus_johnstoni,99.8,129.6,Tucker et al. 2007,
Crocodylus_moreletii,116,155,Barrios-Quiroz et al. 2012,
Crotalus_horridus,128,140,Gibbons 1972,
Crotalus_viridis,101.1,126.9,Ashton 2001,
Ctenosaura_bakeri,22,30,Pasachnik et al. 2012a,
Ctenosaura_melanosterna,27.4,32.2,Pasachnik et al. 2012b,
Ctenosaura_oedirhina,20.18,31.5,Pasachnik 2012,
Cyclura_cychlura,47.7,62,Knapp et al. 2006,
Cyclura_nubila,37,52,Beovides-Casas & Mancina 2006,
Elaphe_obsoleta,151.6,177.4,Stickel et al. 1980,
Elaphe_quadrivirgata,93.8,107.4,Tanaka & Ota 2002,
Emydocephalus_annulatus,80,69.5,Shine & Goiran 2021,
Emydocephalus_ijimae,78.5,85.5,Masunaga & Ota 2003,
Gehyra_variegata,5.6,5.4,Bustard 1965,
Geochelone_elephantopus,117,154,Schafer & Krekorian 1983,
Grayia_smythii,98,84,Akani & Luiselli 2001,
Hemidactylus_turcicus,6,5.8,Saenz & Conner 1996,
Heteronotia_binoei,4.5,4.3,Zozaya et al. 2019,
Holbrookia_maculata,5.7,6.1,Gennaro  1974,
Iberolacerta_aranica,6.688,6.18,Arribas 2001,
Lacerta_agilis,9.45,8.34,Candan 2021,
Lacerta_viridis,114.3,114.9,B¸lb¸l et al. 2023,
Lapemis_hardwickii,120,126,Ward 2001,
Lygosoma_laterale,5.1,4.6,Brooks 1967,
Meroles_anchietae,4.7,5.2, Eifler et al. 2020,
Meroles_cuneirostris,58,68,Childers & Eifler 2015,
Morelia_viridis,142,160,Natusch & Lyons 2014,
Natrix_natrix,88,70,Borczyk 2007,
Nerodia_rhombifer,102.5,76.5,Greenwood  2021,
Nerodia_sipedon,90,72,Weatherhead et al. 1995,
Nerodia_taxispilota,133,97,Mills 2002,
Opheodrys_aestivus,61.8,49.4,Plummer 1997,
Phelsuma_madagascariensis,9.16,10.5,Ikeuchi et al. 2005,
Phrynosoma_cornutum,113.3,99.2,Hughes et al. 2019,
Podarcis_bocagei,63.2,6.57,Galan 1997,
Podarcis_sicula,6.19,9,Vervust et al. 2007,
Psammodromus_algirus,68.65,72.15,Carretero & Llorente 1997,
Rhabdophis_tigrinus,103.2,74.5,Blennerhassett et al. 2019,
Sceloporus_graciosus,53,56,Tinkle et al. 1993,
Sceloporus_jarrovi,8.6,9.8,RamÌrez-Bautista et al. 2002,
Sceloporus_poinsetti,12.8,13.7,Webb  2008,
Sceloporus_scalaris,7,7,Cruz-Elizalde et al. 2022,
Sceloporus_undulatus,7.6,7,Haenel & John-Alder 2002,
Sceloporus_virgatus,7.43,6.51,Abell 1998,
Stegonotus_cucullatus,108,144.1,Trembath et al. 2009,
Storeria_dekayi,34,28,King 1997,
Tarentola_annularis,9.8,15.3,Akef 2023,
Tarentola_boettgeri,7.5,6.1,Piquet et al. 2022,
Tarentola_mauritanica,6.3,7.07,Cencetti et al. 2011,
Thamnophis_marcianus,71,47.5,Jackson et al. 2015,
Thamnophis_radix,76,63.5,Tuttle 2007,
Thamnophis_sauritus,77.7,68,Langford et al. 2011,
Trimeresurus_stejnegeri,53.2,49.84,Tsai & Tu 2000,
Tropidurus_albemarlensis,8,9.9,Stebbins et al. 1967,
Tropidurus_hispidus,8.9,12.4,Vitt et al. 1996,
Tropidurus_itambere,7.9,9.1,Sluys 1998,
Tropidurus_torquatus,101,124,Pinto et al. 2005,
Underwoodisaurus_milii,9.65,9.18,Liao 2022,
Uta_stansburiana,5.8,6.4,Parker & Pianka 1975,
Varanus_albigularis,62,77,Phillips 1995,
Varanus_salvator,77,91,Shine et al. 1996,
Vipera_aspis,66,57.5,Mebert et al. 2017,
Vipera_berus,53.5,57.5,Mebert et al. 2017,
Acritoscincus_duperreyi,7.9,7.7,Dissanayake Mudiyanselage  2022,
Caiman_crocodilus,99,145.5,Thorbjarnarson 1994,
Caiman_yacare,90,114,Campos et al. 2014,
Crocodylus_intermedius,678,345,Thorbjarnarson and Franz 1987,total length
Drymarchon_couperi,156,191,Hyslop et al. 2009,
Eulamprus_heatwolei,11,9.1,Morrison et al. 2002,
Eulamprus_tympanum,8.3,8.3,Doughty et al. 2003,mean SVL
Gambelia_wislizenii,11.2,10.2,Mitchell 1984,
Iberolacerta_aurelioi,6.221,6.525,Arribas & Gal·n 2005,
Intellagama_lesueurii,23,30.4,Thompson 1993,
Lacerta_monticola,7.9,7.65,R˙a & Gal·n 2003,
Niveoscincus_ocellatus,85,81,Wapstra 1997,
Pituophis_melanoleucus,134,144,Johnson & Main 2005,
Podarcis_hispanica,6,6.1,Sampedro et al. 2008,
Sistrurus_catenatus,71.5,77.8,Dreslik et al. 2017,
Sistrurus_miliarius,39,41.5,Maag & Greene 2023,
Thamnophis_scalaris,50,48,Manjarrez et al. 2007,
Thamnophis_proximus,76,63,Ford & Hampton 2009,
Vipera_ursinii,43.5,42.7,FerriËre et al. 1996,
Xenochrophis_piscator,71.4,55.5,Zug et al. 2006,
Achalinus_spinalis,47.7,33.5,Yamaski_Mori_2017,
Alsophis_rufiventris,108,81,Hughes_et_al_2009,
Alsophis_sibonius,108,81,Hughes_et_al_2009,
Anolis_quercorum,4.4,4.6,Reptile_Database,
Aspidelaps_lubricus,69,65.5,Broadley_Baldwin_2006,
Asthenodipsas_laevis,49.2,25.7,Chanard_et_al_2015,
Atractus_elaps,38.2,34.5,King_1989,
Atractus_marthae,34.6,30.7,Menses_Pelayo_Passos_2019,
Atractus_paraguayensis,49,37.5,Reptile_Database,
Atractus_torquatus,68.3,52.5,Passos_Prudente_2012,
Boiga_forsteni,126,146,Smith_1943,
Boiga_kraepelini,101.2,102.3,Ziegler_et_al_2010,
Boiga_multomaculata,80,61,Smith_1943,
Boiga_ochracea,88.5,81.5,Smith_1943,
Boiga_trigonata,81,68.5,Smith_1943,
Bothrops_alternatus,130,88.4,Nunes_et_al_2010,
Bothrops_bilineatus,84,55.5,Llanqui_et_al_2019,
Bothrops_jararacussu,157.5,97,Silva_et_al_2020,
Bungarus_candidus,91.2,130.3,Hodges_et_2021,
Calliophis_intestinalis,35.5,16,Chanard_et_al_2015,
Calloselasma_rhodostoma,89.2,68.9,Kadafi_et_al_2018,
Candoia_superciliosa,88.5,54.6,Zug_2012,
Cerrophidion_godmani,43.1,48.9,Lopez_Luna_et_al_1999,
Chilabothrus_angulifer,223.3,158,Rodrigues_Cabrera_et_al_2016,
Chilabothrus_fordii,73,86,Henderson_Powell_2004,
Chironius_bicarinatus,90.3,103,Mareques_et_al_2009,
Chironius_grandisquamis,116,100.3,Goldberg_Bursey_2004,
Cnemidophorus_lemniscatus,7.8,9.3,Montgomery_et_al_2011a,
Coelognathus_helena,138.6,57.9,Parmar_Tank_2019,
Contia_longicaudae,36.9,33.3,Feldman_Hoyer_2010,
Corallus_grenadensis,155,149,Henderson_Powell_2004,
Crotalus_basiliscus,128,122.5,Goldberg_et_al_2005,
Crotalus_pyrrhus,85.4,99.1,Cochran_2019,
Cubophis_cantherigerus,128,93.7,Hedges_et_al_2009,
Cubophis_caymanus,128,93.7,Hedges_et_al_2009,
Cyrtodactylus_tripuraensis,8.11,6.5,Agrawal_et_al_2020,
Darevskia_portschinskii,5.78,5.66,Abramjan_et_al_2021,
Dendrophidion_vinitor,59.5,63.6,Goldberg_Bursey_2004,
Dipsas_pavonina,52,57,Lima_Prudente_2009,
Dolichophis_caspius,123.2,128,Frank_Dudas_2018,
Echinanthera_undulata,57,44,Gomes_Marques_2012,
Elaphe_quatuorlineata,172.2,141.8,Filippi_et_al_2005,
Elaphe_schrenckii,152.4,134.5,Lee_Park_2011,
Elapsoidea_sundevallii,57,71.6,Tolley_2020,
Erythrolamprus_jaegeri,48,39.6,Teixeira_et_al_2020,
Erythrolamprus_mimus,58,55.3,Pizzatto_et_al_2008,
Erythrolamprus_ornatus,58.3,52,Williams_et_al_2016,
Eunectes_notaeus,33.5,25.5,Waller_et_al_2007,
Ficimia_publia,34,41.5,Hardy_1975,
Gehyra_dubia,7,6.9,Phongkangsananan_et_al_2014,
Gloydius_ussuriensis,53.2,58,Kim_Oh_2014,
Gonatodes_machelae,3.33,3.38,Rivero_Blanco_Schargel_2020,
Gonionotophis_grantii,34.7,44,Trape_et_al_2018,
Gonionotophis_klingi,34.7,44,Trape_et_al_2018,
Gonyosoma_prasinum,82,77.5,Luu_et_al_2020,
Gracililima_nyassae,52,45.8,Trape_et_al_2018,
Helicops_carinicaudus,99,48.5,Pontes_et_al_2008,
Helicops_danieli,80,45.7,Rossman_ND,
Hemachatus_haemachatus,102,102,Shine_et_al_2007,
Hierophis_viridiflavus,94.6,110.1,Fornasiero_et_al_2007,
Hydrodynastes_gigas,236,158.5,Lopez_Giraudo_2004,
Hydrophis_atriceps,91.5,100,Reptile_Database,
Hypsiglena_chlorophaea,53.2,38.2,Weaver_2010,
Hypsiglena_torquata,50.3,36.8,Goldberg_2001,
Hypsirhynchus_ater,85,83,Hughes_et_al_2009,
Hypsirhynchus_ferox,85,83,Hughes_et_al_2009,
Hypsirhynchus_funereus,85,83,Hughes_et_al_2009,
Ialtris_dorsalis,99,90.5,Hughes_et_al_2009,
Ialtris_haetianus,99,90.5,Hughes_et_al_2009,
Lampropeltis_pyromelana,71.2,94.5,Hansen_2005,
Laticauda_laticaudata,96,80,Reptile_Database,
Laticauda_semifasciata,119,80.5,Reptile_Database,
Leptophis_coeruleodorsus,93.3,84.3,Murphy_et_al_2013,
Limaformosa_capensis,50,31.1,Trape_et_al_2018,
Limaformosa_crossi,50,31.1,Trape_et_al_2018,
Limaformosa_guirali,50,31.1,Trape_et_al_2018,
Liolaemus_azarai,4.87,5.43,Gonzalez_Marin_Hernando_2013,
Liopeltis_calamaria,29,22.7,Smith_1943,
Lycodon_fasciatus,61.3,69.6,Neang_et_al_2014,
Lycodon_semicarinatus,102,161,Matsumoto_Mori_2021,
Lycodon_subcinctus,82,71,Smith_1943,
Lycodon_travancoricus,46.3,54.6,Ganesh_et_al_2020,
Lycophidion_depressirostre,35,27.488,Hoevers_Johnson_1982,
Lygophis_anomalus,58.4,55,Panzera_Maneyro_2013,
Magliophis_exiguus,43.8,42.8,Hedges_et_al_2009,
Malpolon_insignitus,60,77,Rhadi_2017,
Malpolon_moilensis,54,52,Rhadi_2017,
Meizodon_semiornatus,51.8,39,Hoevers_Johnson_1982,
Micrurus_hemprichii,37.5,74,Moore_et_al_2020,
Micrurus_spixii,120,84,Camper_et_al_2021,
Mochlus_sundevallii,7.86,7.74,Verdu_Ricoy_et_al_2021,
Myrrophis_chinensis,53.3,51.8,Huang_1997,
Natriciteres_fuliginoides,30.3,24.7,Luiselli_et_al_2006,
Natriciteres_variegata,25.5,21.9,Luiselli_et_al_2006,
Natrix_helvetica,96,74,Gregory_2004,
Oligodon_cyclurus,63,80,Smith_1943,
Opisthotropis_lateralis,47,47,"Luu_et_al_2020, Sy_2019",
Oxybelis_brevirostris,54.1,55.8,Montgomery_et_al_2011b,
Palusophis_bifossatus,163,145.5,Marques_Muriel_2007,
Pareas_hamptoni,48,45.3,Chanard_et_al_2015,
Pareas_margaritophorus,39.5,27,Smith_1943,
Phrynonax_polylepis,116.4,87.2,Angulo_Chavez_2017,
Platyceps_brevis,39.5,43,Schatti_Charvet_2003,
Porthidium_ophryomegas,62.2,54.6,Turcios_Casco_et_al_2020,
Prosymna_ambigua,14.6,16,Hoffmann_1990,
Prosymna_greigerti,26,36,Titus_McQuillan_2014,
Prosymna_pitmani,26,36,Titus_McQuillan_2014,
Prosymna_stuhlmanni,26,36,Titus_McQuillan_2014,
Psammophis_biseriatus,67.2,61.4,Cottone_Bauer_2009,
Psammophis_condanarus,37.5,55,Swamy_2021,
Psammophis_crucifer,43,37.1,Cottone_Bauer_2009,
Psammophylax_multisquamis,74.3,99.5,Keates_et_al_2019,
Psammophylax_rhombeatus,119.7,120,Keates_et_al_2019,
Psammophylax_variabilis,62,83.5,Keates_et_al_2019,
Pseudalsophis_dorsalis,95,102.5,Arteaga_et_al_2020,
Pseudoxenodon_macrops,82,93,Smith_1943,
Ptyas_multicincta,84.5,70,Snakes_of_Taiwan,
Python_curtus,150,145,Steubing_Inger_1999,
Python_molurus,342,286,Anderson_Secor_2015,
Rhabdophis_auriculatus,29.8,31,Das_et_al_2021,
Rhabdophis_chrysargos,83.7,55,Das_et_al_2021,
Rhabdophis_himalayanus,94,66,Das_et_al_2021,
Rhabdophis_plumbicolor,64.8,53.4,Das_et_al_2021,
Rhabdophis_rhodomelas,53.2,46.9,Das_et_al_2021,
Rhabdophis_subminiatus,78.5,72,Das_et_al_2021,
Rhinophis_philippinus,25.26,16.55,Huntley_et_al_2021,
Scaphiodontophis_annulatus,50.5,39,Smith_1994,
Scincella_vandenburghi,5.37,4.88,Chen_et_al_2010,
Sibynophis_collaris,52.5,40.6,Smith_1973,
Sonora_aemula,33.6,30.5,Zweifel_Norris_1955,
Sonora_palarostris,30.9,28.3,Rosen_et_al_1996,
Stegonotus_guentheri,68.3,99.6,Kaiser_et_al_2019,
Stegonotus_heterurus,57.5,63.3,Kaiser_et_al_2019,
Stegonotus_modestus,54.2,91.5,Kaiser_et_al_2019,
Stenorrhina_degenhardtii,65,69.6,Smith_1994,
Storeria_victa,22.8,19.2,King_1989,
Takydromus_hsuehshanensis,7.2,7.2,Huang_1998,
Tantilla_relicta,19.4,19,Telford_1980,
Tantilla_wilcoxi,29.8,26.1,Ansel_et_al_2004,
Thamnodynastes_chaquensis,61.9,59,Bellini_et_al_2014,
Thamnodynastes_lanei,43.1,43.8,Zaher_2021,
Thamnodynastes_strigatus,79.5,79.6,Zaher_2021,
Thamnophis_scaliger,43.9,38,Feriche_et_al_2011,
Trimeresurus_popeiorum,70.9,75.8,Vogel_et_al_2004,
Trimeresurus_puniceus,57.7,67.8,David_et_al_2006b,
Trimeresurus_purpureomaculatus,76,54,Reptile_Database,
Trimorphodon_tau,87,65,Hansen_2005,
Tropidodryas_serra,113.1,96,Stender_Oliveira_et_al_2016,
Tropidodryas_striaticeps,97.4,78.6,Stender_Oliveira_et_al_2016,
Tropidonophis_multiscutellatus,71,58.3,Malnate_Underwood_1988,
Tropidophis_haetianus,55.2,53.4,Hedges_2002,
Tropidophorus_murphyi,9.63,8.51,Hikida_et_al_2002,
Varanus_prasinus,28.6,29.5,de_Buffrenil_et_al_2005,
Xenodermus_javanicus,40,42,Smith_1943,
Xenodon_neuwiedii,77.5,73,Pizzatto_et_al_2008,
Xylophis_captaini,58,48,Smith_1943,
Zamenis_situla,75,99.5,Polyakova_et_al_2019,